tollgate_id,time_window,direction,volume,start_time,date,day_of_week,is_weekend,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,time2,hour
1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,13,2016/9/19 0:00,2016/9/19,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0.0,0
1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,140,2016/9/19 0:00,2016/9/19,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0.0,0
2,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,2,2016/9/19 0:00,2016/9/19,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0.0,0
3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,17,2016/9/19 0:00,2016/9/19,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0.0,0
3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,181,2016/9/19 0:00,2016/9/19,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0.0,0
1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,6,2016/9/19 0:20,2016/9/19,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0.2,0
1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,56,2016/9/19 0:20,2016/9/19,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0.2,0
2,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,0,2016/9/19 0:20,2016/9/19,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0.2,0
3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,16,2016/9/19 0:20,2016/9/19,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0.2,0
3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,112,2016/9/19 0:20,2016/9/19,1,0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,0.2,0
1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,9,2016/9/19 0:40,2016/9/19,1,0,1008.047,1013.191,248.207,4.904,22.658,66.42699999999999,0.552,0.4,0
1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,31,2016/9/19 0:40,2016/9/19,1,0,1008.047,1013.191,248.207,4.904,22.658,66.42699999999999,0.552,0.4,0
2,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,0,2016/9/19 0:40,2016/9/19,1,0,1008.047,1013.191,248.207,4.904,22.658,66.42699999999999,0.552,0.4,0
3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,16,2016/9/19 0:40,2016/9/19,1,0,1008.047,1013.191,248.207,4.904,22.658,66.42699999999999,0.552,0.4,0
3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,93,2016/9/19 0:40,2016/9/19,1,0,1008.047,1013.191,248.207,4.904,22.658,66.42699999999999,0.552,0.4,0
1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,10,2016/9/19 1:00,2016/9/19,1,0,1008.067,1013.266,194.275,5.715,22.889,63.069,0.752,1.0,1
1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,2016/9/19 1:00,2016/9/19,1,0,1008.067,1013.266,194.275,5.715,22.889,63.069,0.752,1.0,1
2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,1,2016/9/19 1:00,2016/9/19,1,0,1008.067,1013.266,194.275,5.715,22.889,63.069,0.752,1.0,1
3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,17,2016/9/19 1:00,2016/9/19,1,0,1008.067,1013.266,194.275,5.715,22.889,63.069,0.752,1.0,1
3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,2016/9/19 1:00,2016/9/19,1,0,1008.067,1013.266,194.275,5.715,22.889,63.069,0.752,1.0,1
1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,14,2016/9/19 1:20,2016/9/19,1,0,1008.159,1013.357,153.16899999999995,5.778,23.06,63.06100000000001,0.732,1.2,1
1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,14,2016/9/19 1:20,2016/9/19,1,0,1008.159,1013.357,153.16899999999995,5.778,23.06,63.06100000000001,0.732,1.2,1
2,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,0,2016/9/19 1:20,2016/9/19,1,0,1008.159,1013.357,153.16899999999995,5.778,23.06,63.06100000000001,0.732,1.2,1
3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,17,2016/9/19 1:20,2016/9/19,1,0,1008.159,1013.357,153.16899999999995,5.778,23.06,63.06100000000001,0.732,1.2,1
3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,5,2016/9/19 1:20,2016/9/19,1,0,1008.159,1013.357,153.16899999999995,5.778,23.06,63.06100000000001,0.732,1.2,1
1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,10,2016/9/19 1:40,2016/9/19,1,0,1008.258,1013.421,116.911,5.476,23.268,64.443,0.586,1.4,1
1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1,7,2016/9/19 1:40,2016/9/19,1,0,1008.258,1013.421,116.911,5.476,23.268,64.443,0.586,1.4,1
2,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,2,2016/9/19 1:40,2016/9/19,1,0,1008.258,1013.421,116.911,5.476,23.268,64.443,0.586,1.4,1
3,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,11,2016/9/19 1:40,2016/9/19,1,0,1008.258,1013.421,116.911,5.476,23.268,64.443,0.586,1.4,1
3,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1,4,2016/9/19 1:40,2016/9/19,1,0,1008.258,1013.421,116.911,5.476,23.268,64.443,0.586,1.4,1
1,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,7,2016/9/19 2:00,2016/9/19,1,0,1008.326,1013.436,81.898,5.0680000000000005,23.559,65.965,0.386,2.0,2
1,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1,7,2016/9/19 2:00,2016/9/19,1,0,1008.326,1013.436,81.898,5.0680000000000005,23.559,65.965,0.386,2.0,2
2,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,0,2016/9/19 2:00,2016/9/19,1,0,1008.326,1013.436,81.898,5.0680000000000005,23.559,65.965,0.386,2.0,2
3,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,11,2016/9/19 2:00,2016/9/19,1,0,1008.326,1013.436,81.898,5.0680000000000005,23.559,65.965,0.386,2.0,2
3,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1,5,2016/9/19 2:00,2016/9/19,1,0,1008.326,1013.436,81.898,5.0680000000000005,23.559,65.965,0.386,2.0,2
1,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0,10,2016/9/19 2:20,2016/9/19,1,0,1008.341,1013.395,47.512,4.715,23.941,66.919,0.18,2.2,2
1,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1,7,2016/9/19 2:20,2016/9/19,1,0,1008.341,1013.395,47.512,4.715,23.941,66.919,0.18,2.2,2
