date,direction,max,mean,mean_1h,mean_20,mean_40,median,min,range,satrt_time,std,time,tollgate_id
2016-09-19,0.0,14.0,10.333333333333334,11.333333333333334,10.0,12.0,10.0,6.0,8.0,2016-09-19 02:00:00,2.875181153713043,02:00:00,1.0
2016-09-19,0.0,14.0,10.333333333333334,11.333333333333334,10.0,12.0,10.0,6.0,8.0,2016-09-19 02:20:00,2.875181153713043,02:20:00,1.0
2016-09-19,0.0,14.0,10.333333333333334,11.333333333333334,10.0,12.0,10.0,6.0,8.0,2016-09-19 02:40:00,2.875181153713043,02:40:00,1.0
2016-09-19,0.0,14.0,10.333333333333334,11.333333333333334,10.0,12.0,10.0,6.0,8.0,2016-09-19 03:00:00,2.875181153713043,03:00:00,1.0
2016-09-19,0.0,14.0,10.333333333333334,11.333333333333334,10.0,12.0,10.0,6.0,8.0,2016-09-19 03:20:00,2.875181153713043,03:20:00,1.0
2016-09-19,0.0,14.0,10.333333333333334,11.333333333333334,10.0,12.0,10.0,6.0,8.0,2016-09-19 03:40:00,2.875181153713043,03:40:00,1.0
2016-09-19,0.0,10.0,7.5,7.333333333333333,9.0,6.5,8.0,4.0,6.0,2016-09-19 04:00:00,2.258317958127243,04:00:00,1.0
2016-09-19,0.0,10.0,7.5,7.333333333333333,9.0,6.5,8.0,4.0,6.0,2016-09-19 04:20:00,2.258317958127243,04:20:00,1.0
2016-09-19,0.0,10.0,7.5,7.333333333333333,9.0,6.5,8.0,4.0,6.0,2016-09-19 04:40:00,2.258317958127243,04:40:00,1.0
2016-09-19,0.0,10.0,7.5,7.333333333333333,9.0,6.5,8.0,4.0,6.0,2016-09-19 05:00:00,2.258317958127243,05:00:00,1.0
2016-09-19,0.0,10.0,7.5,7.333333333333333,9.0,6.5,8.0,4.0,6.0,2016-09-19 05:20:00,2.258317958127243,05:20:00,1.0
2016-09-19,0.0,10.0,7.5,7.333333333333333,9.0,6.5,8.0,4.0,6.0,2016-09-19 05:40:00,2.258317958127243,05:40:00,1.0
2016-09-19,0.0,13.0,9.666666666666666,7.666666666666667,13.0,10.5,11.0,2.0,11.0,2016-09-19 06:00:00,4.226897995772629,06:00:00,1.0
2016-09-19,0.0,13.0,9.666666666666666,7.666666666666667,13.0,10.5,11.0,2.0,11.0,2016-09-19 06:20:00,4.226897995772629,06:20:00,1.0
2016-09-19,0.0,13.0,9.666666666666666,7.666666666666667,13.0,10.5,11.0,2.0,11.0,2016-09-19 06:40:00,4.226897995772629,06:40:00,1.0
