tollgate_id,time_window,direction,volume,start_time,date,time,day_of_week,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6,week_day_7,is_weekend,month,day,hour,minute,time_win_label,lengthSum,widthSum,lanesSum,laneWidthSum,intersectionNum,linkNum,max,mean,mean_1h,mean_20,mean_40,median,min,range,satrt_time,std
3.0,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0.0,11.0,2016-09-19 02:00:00,2016-09-19,02:00:00,1,1,0,0,0,0,0,0,0,9,19,2,0,6,2535,162,54,63,3,21,17.0,15.666666666666664,15.0,11.0,14.0,16.5,11.0,6.0,2016-09-19 02:00:00,2.3380903889000244
3.0,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1.0,5.0,2016-09-19 02:00:00,2016-09-19,02:00:00,1,1,0,0,0,0,0,0,0,9,19,2,0,6,2535,162,54,63,3,21,181.0,66.5,4.333333333333333,4.0,4.5,49.0,4.0,177.0,2016-09-19 02:00:00,74.13163966890251
1.0,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0.0,7.0,2016-09-19 02:00:00,2016-09-19,02:00:00,1,1,0,0,0,0,0,0,0,9,19,2,0,6,2371,150,50,63,2,21,14.0,10.333333333333334,11.333333333333336,10.0,12.0,10.0,6.0,8.0,2016-09-19 02:00:00,2.8751811537130427
1.0,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1.0,7.0,2016-09-19 02:00:00,2016-09-19,02:00:00,1,1,0,0,0,0,0,0,0,9,19,2,0,6,2371,150,50,63,2,21,140.0,42.0,8.333333333333334,7.0,10.5,22.5,4.0,136.0,2016-09-19 02:00:00,51.71846865482389
2.0,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0.0,0.0,2016-09-19 02:00:00,2016-09-19,02:00:00,1,1,0,0,0,0,0,0,0,9,19,2,0,6,384,42,14,18,1,6,2.0,1.6666666666666667,,,,2.0,1.0,1.0,2016-09-19 02:00:00,0.5773502691896257
3.0,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0.0,14.0,2016-09-19 02:20:00,2016-09-19,02:20:00,1,1,0,0,0,0,0,0,0,9,19,2,20,7,2535,162,54,63,3,21,17.0,15.666666666666664,15.0,11.0,14.0,16.5,11.0,6.0,2016-09-19 02:20:00,2.3380903889000244
3.0,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1.0,4.0,2016-09-19 02:20:00,2016-09-19,02:20:00,1,1,0,0,0,0,0,0,0,9,19,2,20,7,2535,162,54,63,3,21,181.0,66.5,4.333333333333333,4.0,4.5,49.0,4.0,177.0,2016-09-19 02:20:00,74.13163966890251
1.0,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0.0,10.0,2016-09-19 02:20:00,2016-09-19,02:20:00,1,1,0,0,0,0,0,0,0,9,19,2,20,7,2371,150,50,63,2,21,14.0,10.333333333333334,11.333333333333336,10.0,12.0,10.0,6.0,8.0,2016-09-19 02:20:00,2.8751811537130427
1.0,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1.0,7.0,2016-09-19 02:20:00,2016-09-19,02:20:00,1,1,0,0,0,0,0,0,0,9,19,2,20,7,2371,150,50,63,2,21,140.0,42.0,8.333333333333334,7.0,10.5,22.5,4.0,136.0,2016-09-19 02:20:00,51.71846865482389
2.0,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0.0,0.0,2016-09-19 02:20:00,2016-09-19,02:20:00,1,1,0,0,0,0,0,0,0,9,19,2,20,7,384,42,14,18,1,6,2.0,1.6666666666666667,,,,2.0,1.0,1.0,2016-09-19 02:20:00,0.5773502691896257
3.0,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0.0,18.0,2016-09-19 02:40:00,2016-09-19,02:40:00,1,1,0,0,0,0,0,0,0,9,19,2,40,8,2535,162,54,63,3,21,17.0,15.666666666666664,15.0,11.0,14.0,16.5,11.0,6.0,2016-09-19 02:40:00,2.3380903889000244
1.0,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0.0,6.0,2016-09-19 02:40:00,2016-09-19,02:40:00,1,1,0,0,0,0,0,0,0,9,19,2,40,8,2371,150,50,63,2,21,14.0,10.333333333333334,11.333333333333336,10.0,12.0,10.0,6.0,8.0,2016-09-19 02:40:00,2.8751811537130427
1.0,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",1.0,10.0,2016-09-19 02:40:00,2016-09-19,02:40:00,1,1,0,0,0,0,0,0,0,9,19,2,40,8,2371,150,50,63,2,21,140.0,42.0,8.333333333333334,7.0,10.5,22.5,4.0,136.0,2016-09-19 02:40:00,51.71846865482389
2.0,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0.0,0.0,2016-09-19 02:40:00,2016-09-19,02:40:00,1,1,0,0,0,0,0,0,0,9,19,2,40,8,384,42,14,18,1,6,2.0,1.6666666666666667,,,,2.0,1.0,1.0,2016-09-19 02:40:00,0.5773502691896257
3.0,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",1.0,0.0,2016-09-19 02:40:00,2016-09-19,02:40:00,1,1,0,0,0,0,0,0,0,9,19,2,40,8,2535,162,54,63,3,21,181.0,66.5,4.333333333333333,4.0,4.5,49.0,4.0,177.0,2016-09-19 02:40:00,74.13163966890251
1.0,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0.0,9.0,2016-09-19 03:00:00,2016-09-19,03:00:00,1,1,0,0,0,0,0,0,0,9,19,3,0,9,2371,150,50,63,2,21,14.0,10.333333333333334,11.333333333333336,10.0,12.0,10.0,6.0,8.0,2016-09-19 03:00:00,2.8751811537130427
1.0,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",1.0,10.0,2016-09-19 03:00:00,2016-09-19,03:00:00,1,1,0,0,0,0,0,0,0,9,19,3,0,9,2371,150,50,63,2,21,140.0,42.0,8.333333333333334,7.0,10.5,22.5,4.0,136.0,2016-09-19 03:00:00,51.71846865482389
3.0,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0.0,10.0,2016-09-19 03:00:00,2016-09-19,03:00:00,1,1,0,0,0,0,0,0,0,9,19,3,0,9,2535,162,54,63,3,21,17.0,15.666666666666664,15.0,11.0,14.0,16.5,11.0,6.0,2016-09-19 03:00:00,2.3380903889000244
3.0,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",1.0,5.0,2016-09-19 03:00:00,2016-09-19,03:00:00,1,1,0,0,0,0,0,0,0,9,19,3,0,9,2535,162,54,63,3,21,181.0,66.5,4.333333333333333,4.0,4.5,49.0,4.0,177.0,2016-09-19 03:00:00,74.13163966890251
2.0,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0.0,0.0,2016-09-19 03:00:00,2016-09-19,03:00:00,1,1,0,0,0,0,0,0,0,9,19,3,0,9,384,42,14,18,1,6,2.0,1.6666666666666667,,,,2.0,1.0,1.0,2016-09-19 03:00:00,0.5773502691896257
3.0,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0.0,10.0,2016-09-19 03:20:00,2016-09-19,03:20:00,1,1,0,0,0,0,0,0,0,9,19,3,20,10,2535,162,54,63,3,21,17.0,15.666666666666664,15.0,11.0,14.0,16.5,11.0,6.0,2016-09-19 03:20:00,2.3380903889000244
3.0,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",1.0,3.0,2016-09-19 03:20:00,2016-09-19,03:20:00,1,1,0,0,0,0,0,0,0,9,19,3,20,10,2535,162,54,63,3,21,181.0,66.5,4.333333333333333,4.0,4.5,49.0,4.0,177.0,2016-09-19 03:20:00,74.13163966890251
1.0,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0.0,4.0,2016-09-19 03:20:00,2016-09-19,03:20:00,1,1,0,0,0,0,0,0,0,9,19,3,20,10,2371,150,50,63,2,21,14.0,10.333333333333334,11.333333333333336,10.0,12.0,10.0,6.0,8.0,2016-09-19 03:20:00,2.8751811537130427
1.0,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",1.0,14.0,2016-09-19 03:20:00,2016-09-19,03:20:00,1,1,0,0,0,0,0,0,0,9,19,3,20,10,2371,150,50,63,2,21,140.0,42.0,8.333333333333334,7.0,10.5,22.5,4.0,136.0,2016-09-19 03:20:00,51.71846865482389
2.0,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0.0,0.0,2016-09-19 03:20:00,2016-09-19,03:20:00,1,1,0,0,0,0,0,0,0,9,19,3,20,10,384,42,14,18,1,6,2.0,1.6666666666666667,,,,2.0,1.0,1.0,2016-09-19 03:20:00,0.5773502691896257
