tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,91.2085952758789
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,88.9754409790039
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,87.2037582397461
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,86.71734619140625
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,86.03289031982422
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,86.0644302368164
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,87.342041015625
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,85.36739349365234
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,84.64435577392578
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,85.14892578125
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,86.08391571044922
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,86.17926025390625
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,87.19063568115234
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,88.97084045410156
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,87.57112884521484
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,86.89358520507812
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,86.16655731201172
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,86.16950225830078
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,85.61163330078125
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,86.5112075805664
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,86.85314178466797
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,87.0848617553711
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,87.0887451171875
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,86.90918731689453
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,87.25131225585938
